sample_index,label,explainer,base_score,top_deleted_score,random_deleted_score,top_score_drop,random_score_drop,top_terms
0,usability,contrastive_projection_intrinsic,0.47963224388059483,0.46355614831423186,0.4773420515398359,0.01607609556636297,0.0022901923407589453,"use, be able, able to"
0,usability,svm_tfidf_coefficients,0.47805211099828526,0.4097720135845621,0.4717053958377057,0.06828009741372315,0.006346715160579552,"use, the users, their"
1,availability,contrastive_projection_intrinsic,0.41795775977666,0.41795775977666,0.41795775977665994,0.0,5.551115123125783e-17,"by, users, and"
1,availability,svm_tfidf_coefficients,0.2697541375608974,0.2997985682954574,0.27851716840205576,-0.030044430734560035,-0.00876303084115837,"users, and, by"
1,security,contrastive_projection_intrinsic,0.4494159536398945,0.4488533293715307,0.4494784624463772,0.0005626242683637872,-6.25088064826751e-05,"disputes system, users, disputes"
1,security,svm_tfidf_coefficients,0.4186438569300905,0.358227592433487,0.41730925414054326,0.06041626449660348,0.0013346027895472234,"disputes system, disputes, users"
2,operability,contrastive_projection_intrinsic,0.4421976016280378,0.43558910549084434,0.4418667485208032,0.0066084961371934425,0.0003308531072345744,"be, shall be, to be"
2,operability,svm_tfidf_coefficients,0.40597370022965434,0.32347575009503804,0.4004844150299207,0.0824979501346163,0.005489285199733629,"be, shall be, to be"
3,look_and_feel,contrastive_projection_intrinsic,0.5169945287482406,0.4749227646790713,0.5034937159602477,0.04207176406916929,0.013500812787992866,"ship, simulate the, simulate"
3,look_and_feel,svm_tfidf_coefficients,0.6438740291775112,0.5012232992306287,0.601077431297731,0.14265072994688255,0.042796597879780296,"ship, simulate the, simulate"
4,operability,contrastive_projection_intrinsic,0.446975708148865,0.4356321855042907,0.44505474966115244,0.011343522644574278,0.0019209584877125652,"environment, operate within, operate"
4,operability,svm_tfidf_coefficients,0.4791081269056025,0.3623833776143847,0.4656805616277237,0.11672474929121779,0.013427565277878806,"environment, operate within, within"
5,usability,contrastive_projection_intrinsic,0.49070198846415525,0.4602674863867486,0.48267515999511884,0.030434502077406667,0.008026828469036407,"use, shall use, navigation"
5,usability,svm_tfidf_coefficients,0.5370891655173533,0.4162087529210637,0.49969019946460747,0.12088041259628962,0.03739896605274584,"use, navigation, use standard"
6,performance,contrastive_projection_intrinsic,0.5268637933460374,0.46710439425341577,0.5202328035142136,0.05975939909262162,0.006630989831823753,"seconds, time, response time"
6,performance,svm_tfidf_coefficients,0.5871528159794921,0.46416774335457556,0.5586133010764992,0.12298507262491654,0.02853951490299289,"seconds, time, movie"
7,availability,contrastive_projection_intrinsic,0.4671335286332083,0.4179866149189388,0.45731737061639227,0.04914691371426949,0.009816158016816012,"available, be available, technical"
7,availability,svm_tfidf_coefficients,0.48075041516385225,0.31829871401999,0.4410066451193042,0.16245170114386226,0.039743770044548044,"available, be available, technical"
7,fault_tolerance,contrastive_projection_intrinsic,0.39909117449370546,0.39909117449370546,0.3993552820746572,0.0,-0.0002641075809517446,"available, available to, be"
7,fault_tolerance,svm_tfidf_coefficients,0.3203692585536318,0.28241255881247673,0.31611821441808813,0.037956699741155064,0.004251044135543669,"available, available to, will"
8,look_and_feel,contrastive_projection_intrinsic,0.4431316908373646,0.4419923225093722,0.44415885962397667,0.001139368327992385,-0.001027168786612076,"and, products, allow"
8,look_and_feel,svm_tfidf_coefficients,0.45015975534702213,0.3822138946008695,0.43026830809138294,0.06794586074615261,0.019891447255639183,"and, products, allow"
8,usability,contrastive_projection_intrinsic,0.48917504029480186,0.455282506308007,0.47947168160533143,0.03389253398679487,0.00970335868947042,"and, shall allow, allow"
8,usability,svm_tfidf_coefficients,0.5619985602328343,0.3885120666964794,0.47402983069923565,0.17348649353635492,0.08796872953359869,"and, shall allow, allow"
9,operability,contrastive_projection_intrinsic,0.43558910549084434,0.43558910549084434,0.4355891054908444,0.0,-5.551115123125783e-17,"user, of the, of"
9,operability,svm_tfidf_coefficients,0.2746059596337999,0.31760177127837624,0.2840531083913159,-0.04299581164457633,-0.00944714875751601,"user, of, of the"
10,availability,contrastive_projection_intrinsic,0.4775703428863625,0.4205758015300231,0.4637439235355539,0.05699454135633941,0.013826419350808639,"time, shall achieve, achieve"
10,availability,svm_tfidf_coefficients,0.5510722209829286,0.36513287873877415,0.5024040347485094,0.18593934224415448,0.048668186234419264,"shall achieve, achieve, time"
11,security,contrastive_projection_intrinsic,0.4502454704844826,0.4488533293715307,0.4501176324279925,0.0013921411129518835,0.00012783805649008162,"security, and or, the system"
11,security,svm_tfidf_coefficients,0.4385017544001422,0.40029194575327076,0.4339990155366163,0.03820980864687146,0.0045027388635259236,"security, and or, in"
12,performance,contrastive_projection_intrinsic,0.6037484766796651,0.5310521681548154,0.5813483851200378,0.07269630852484976,0.0224000915596273,"minutes, 10, shall let"
12,performance,svm_tfidf_coefficients,0.7380667219146515,0.6128370852171202,0.6893380461563996,0.1252296366975313,0.048728675758251905,"minutes, shall let, let"
12,usability,contrastive_projection_intrinsic,0.5202589067836006,0.48874644963637737,0.5068788913029441,0.03151245714722328,0.013380015480656593,"minutes, under, in under"
